# Source:  “PhotochemCAD 3: Diverse Modules for Photophysical Calculations with Access to Multiple Spectral Databases,”Taniguchi, M.; Du, H.; Lindsey, J. S. Photochem. Photobiol. 2018, 94, 277–289. 
# Source:  “Database of Absorption and Fluorescence Spectra of >300 Common Compounds for Use in PhotochemCAD,” Taniguchi, M.; Lindsey, J. S. Photochem. Photobiol. 2018, 94, 290–327.
# Date Accessed: 20 Jan 2021
Wavelength (nm)	T16 BChl a abs e
476.00	2074.6
476.20	2072.2
476.40	2043.2
476.60	2067.4
476.80	2038.3
477.00	2028.6
477.20	2031.0
477.40	2048.0
477.60	2033.5
477.80	2018.9
478.00	2038.3
478.20	2033.5
478.40	2004.4
478.60	2009.3
478.80	1985.1
479.00	1973.0
479.20	1965.7
479.40	1977.8
479.60	2009.3
479.80	1965.7
480.00	1951.2
480.20	2002.0
480.40	2031.0
480.60	1970.5
480.80	1960.8
481.00	1922.1
481.20	1963.3
481.40	1960.8
481.60	1946.3
481.80	1956.0
482.00	1987.5
482.20	1948.7
482.40	1919.7
482.60	1968.1
482.80	1951.2
483.00	1919.7
483.20	1924.5
483.40	1919.7
483.60	1914.9
483.80	1910.0
484.00	1929.4
484.20	1951.2
484.40	1924.5
484.60	1900.3
484.80	1953.6
485.00	1902.7
485.20	1873.7
485.40	1912.4
485.60	1917.3
485.80	1934.2
486.00	1885.8
486.20	1876.1
486.40	1890.6
486.60	1883.4
486.80	1914.9
487.00	1900.3
487.20	1929.4
487.40	1912.4
487.60	1943.9
487.80	1883.4
488.00	1895.5
488.20	1927.0
488.40	1910.0
488.60	1888.2
488.80	1881.0
489.00	1897.9
489.20	1885.8
489.40	1922.1
489.60	1883.4
489.80	1878.5
490.00	1883.4
490.20	1929.4
490.40	1924.5
490.60	1934.2
490.80	1929.4
491.00	1929.4
491.20	1902.7
491.40	1900.3
491.60	1934.2
491.80	1868.9
492.00	1924.5
492.20	1929.4
492.40	1885.8
492.60	1907.6
492.80	1917.3
493.00	1946.3
493.20	1881.0
493.40	1939.1
493.60	1919.7
493.80	1927.0
494.00	1936.6
494.20	1924.5
494.40	1905.2
494.60	1902.7
494.80	1914.9
495.00	1946.3
495.20	1888.2
495.40	1989.9
495.60	1895.5
495.80	1919.7
496.00	2002.0
496.20	1994.7
496.40	1994.7
496.60	1989.9
496.80	1999.6
497.00	2021.4
497.20	2009.3
497.40	2011.7
497.60	2009.3
497.80	1994.7
498.00	1992.3
498.20	2048.0
498.40	2014.1
498.60	2016.5
498.80	2023.8
499.00	2018.9
499.20	1994.7
499.40	1987.5
499.60	1958.4
499.80	1960.8
500.00	1929.4
500.20	1941.5
500.40	1936.6
500.60	1900.3
500.80	1917.3
501.00	1968.1
501.20	1939.1
501.40	1953.6
501.60	1970.5
501.80	1924.5
502.00	1905.2
502.20	1948.7
502.40	1939.1
502.60	1907.6
502.80	1847.1
503.00	1883.4
503.20	1859.2
503.40	1893.1
503.60	1939.1
503.80	1883.4
504.00	1888.2
504.20	1881.0
504.40	1885.8
504.60	1856.8
504.80	1893.1
505.00	1837.4
505.20	1868.9
505.40	1859.2
505.60	1890.6
505.80	1902.7
506.00	1868.9
506.20	1866.4
506.40	1815.6
506.60	1820.4
506.80	1871.3
507.00	1910.0
507.20	1931.8
507.40	1936.6
507.60	1922.1
507.80	1939.1
508.00	1902.7
508.20	1907.6
508.40	1912.4
508.60	1917.3
508.80	1936.6
509.00	1866.4
509.20	1960.8
509.40	1914.9
509.60	1943.9
509.80	1927.0
510.00	1919.7
510.20	1888.2
510.40	1941.5
510.60	1893.1
510.80	1985.1
511.00	1931.8
511.20	1895.5
511.40	1939.1
511.60	1948.7
511.80	1939.1
512.00	1907.6
512.20	1973.0
512.40	1936.6
512.60	1958.4
512.80	1970.5
513.00	1989.9
513.20	1936.6
513.40	1956.0
513.60	1987.5
513.80	2002.0
514.00	1977.8
514.20	2045.6
514.40	2052.8
514.60	1985.1
514.80	2035.9
515.00	2045.6
515.20	2033.5
515.40	2006.8
515.60	2064.9
515.80	2050.4
516.00	2069.8
516.20	2072.2
516.40	2091.6
516.60	2115.8
516.80	2089.1
517.00	2115.8
517.20	2106.1
517.40	2154.5
517.60	2135.1
517.80	2186.0
518.00	2159.4
518.20	2169.0
518.40	2171.5
518.60	2176.3
518.80	2217.5
519.00	2219.9
519.20	2227.1
519.40	2239.2
519.60	2210.2
519.80	2314.3
520.00	2319.1
520.20	2285.2
520.40	2324.0
520.60	2292.5
520.80	2362.7
521.00	2304.6
521.20	2408.7
521.40	2408.7
521.60	2435.3
521.80	2459.5
522.00	2491.0
522.20	2478.9
522.40	2510.4
522.60	2563.6
522.80	2517.6
523.00	2587.8
523.20	2566.0
523.40	2621.7
523.60	2590.3
523.80	2624.1
524.00	2653.2
524.20	2672.6
524.40	2689.5
524.60	2747.6
524.80	2771.8
525.00	2759.7
525.20	2793.6
525.40	2837.2
525.60	2849.3
525.80	2880.7
526.00	2897.7
526.20	2907.4
526.40	2989.7
526.60	2975.2
526.80	3011.5
527.00	3009.1
527.20	3067.2
527.40	3064.7
527.60	3096.2
527.80	3149.5
528.00	3166.4
528.20	3188.2
528.40	3224.5
528.60	3212.4
528.80	3263.2
529.00	3280.2
529.20	3309.2
529.40	3323.8
529.60	3369.8
529.80	3447.2
530.00	3444.8
530.20	3430.3
530.40	3473.8
530.60	3541.6
530.80	3519.8
531.00	3609.4
531.20	3611.8
531.40	3631.2
531.60	3665.1
531.80	3686.9
532.00	3742.6
532.20	3699.0
532.40	3764.3
532.60	3803.1
532.80	3807.9
533.00	3839.4
533.20	3885.4
533.40	3904.7
533.60	3916.9
533.80	3926.5
534.00	3982.2
534.20	3953.2
534.40	4013.7
534.60	4076.6
534.80	4066.9
535.00	4088.7
535.20	4115.4
535.40	4144.4
535.60	4185.6
535.80	4224.3
536.00	4231.6
536.20	4263.0
536.40	4289.7
536.60	4277.5
536.80	4318.7
537.00	4287.2
